"Category";"CommonName";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefOrg";"ChiefName";"ChiefPosition";"PublicPhone";"Fax";"Email";"WorkingHours";"ClarificationOfWorkingHours";"WebSite";"NumOfSeats";"NumOfReaders";"NumOfVisitors";"global_id";"geoData";"geodata_center";
"Библиотека";"Детская библиотека №203";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Западного административного округа». Детская библиотека №203";"ГБУ г. Москвы «ОКЦ ЗАО». Детская библиотека №203";"nested data";"nested data";"Префектура Западного административного округа";"Стрельникова Вера Михайловна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца";"kulturazao.ru";"23";"2696";"19944";"2639269558";"{coordinates=[[37.495954251, 55.738589911]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 96";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Восточного административного округа». Библиотека № 96";"ГБУ г. Москвы «ОКЦ ВАО». Библиотека № 96";"nested data";"nested data";"Префектура Восточного административного округа";"Новикова Людмила Юрьевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Обслуживание не ведется в связи с закрытием библиотеки на капитальный ремонт";"kulturavao.ru";"4";"761";"7309";"2639269559";"{coordinates=[[37.815729808, 55.749848985]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 102";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Восточного административного округа». Библиотека № 102";"ГБУ г. Москвы «ОКЦ ВАО». Библиотека № 102";"nested data";"nested data";"Префектура Восточного административного округа";"Амелина Елена Сергеевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца.";"kulturavao.ru";"30";"879";"15138";"2639269560";"{coordinates=[[37.768016249, 55.740506974]], type=MultiPoint}";"";
"Библиотека";"Библиотека №44 им. В.Г. Короленко";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северного административного округа». Библиотека №44 им. В.Г. Короленко";"ГБУ г. Москвы «ОКЦ САО». Библиотека №44 им. В.Г. Короленко";"nested data";"nested data";"Префектура Северного административного округа";"Зайцева Светлана Вячеславна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturasao.ru";"125";"2077";"33626";"2639269566";"{coordinates=[[37.517399895, 55.8511749], [37.498518443, 55.846122692], [37.512122607, 55.862593078], [37.517167758, 55.851123873]], type=MultiPoint}";"";
"Библиотека";"Дом Н. В. Гоголя - мемориальный музей и научная библиотека";"Государственное бюджетное учреждение культуры города Москвы «Дом Н. В. Гоголя - мемориальный музей и научная библиотека»";"ГБУК г. Москвы «Дом Н. В. Гоголя - мемориальный музей и научная библиотека»";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Дом Н.В. Гоголя - мемориальный музей и научная библиотека»";"Викулова Вера Павловна";"директор";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день. Читальный зал и нотно-музыкальный отдел: ПН – выходной; ВТ - ПТ - 10.00-22.00; СБ, ВС - 10.00-20.00. Абонемент:";"domgogolya.ru";"43";"15001";"108814";"2639269567";"{coordinates=[[37.599759805, 55.754126696], [37.599788671, 55.753687004]], type=MultiPoint}";"";
"Библиотека";"Библиотека №182";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №182";"ГБУ г. Москвы «Атлант». Библиотека №182";"nested data";"nested data";"Префектура Юго-западного административного округа";"Волкова Наталья Анатольевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день. Библиотека по адресу ул. Дмитрия Ульянова. д.43. корп.1 временно закрыт на ремонт";"kulturauzao.ru";"24";"2888";"33546";"2639269568";"{coordinates=[[37.585851168, 55.690242954], [37.592591476, 55.681689973]], type=MultiPoint}";"";
"Библиотека";"Библиотека №196";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №196";"ГБУ г. Москвы «Атлант». Библиотека №196";"nested data";"nested data";"Префектура Юго-западного административного округа";"Пронина Елена Николаевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день -Последний вторник месяца. В отделении по адресу улица Азовская. д. 33. корп. 1 расположен Обменно-резервный фонд. Население не обслуживается.";"kulturauzao.ru";"22";"4039";"24524";"2639269569";"{coordinates=[[37.602947569, 55.645774702]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 185";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №185";"ГБУ г. Москвы «Атлант». Библиотека №185";"nested data";"nested data";"Префектура Юго-западного административного округа";"Корешкова Наталья Петровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturauzao.ru";"20";"3215";"26711";"2639269578";"{coordinates=[[37.592723568, 55.674989714]], type=MultiPoint}";"";
"Библиотека";"Библиотека №53";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Восточного административного округа». Библиотека №53";"ГБУ г. Москвы «ОКЦ СВАО». Библиотека №53";"nested data";"nested data";"Префектура Северо-Восточного административного округа";"Гребенщикова Елена Анатольевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"График работы библиотеки №53 по адресу Тенистый проезд. д.2. к.1: понедельник-пятница 12:00-20:00. суббота-воскресенье 12:00-18:00. понедельник - выходной. санитарный день — последний вторник месяца";"культурасвао.рф";"23";"1608";"32400";"2639269580";"{coordinates=[[37.643122914, 55.851171359], [37.635117983, 55.85863721]], type=MultiPoint}";"";
"Библиотека";"Библиотека №120";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Юго-Восточного административного округа». Библиотека №120";"ГБУ г. Москвы «ОКЦ ЮВАО». Библиотека №120";"nested data";"nested data";"Префектура Юго-восточного административного округа";"Захарова Ольга Анатольевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца";"окцювао.рф";"50";"602";"20530";"2639269581";"{coordinates=[[37.715805578, 55.767290977]], type=MultiPoint}";"";
"Библиотека";"Библиотека №159";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Библиотека №159";"ГБУ г. Москвы «ОКЦ ЮАО». Библиотека №159";"nested data";"nested data";"Префектура Южного административного округа";"Петрова Елена Александровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день.";"kulturauao.ru";"15";"3733";"27012";"2639269582";"{coordinates=[[37.639152219, 55.68004273]], type=MultiPoint}";"";
"Библиотека";"Библиотека № 1 имени А. С. Грибоедова";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Центрального административного округа». Библиотека № 1 имени А. С. Грибоедова";"ГБУ г. Москвы «ОКЦ ЦАО». Библиотека № 1 имени А. С. Грибоедова";"nested data";"nested data";"Префектура Центрального административного округа";"Лебедева Зинаида Геннадьевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"График работы отдела по адресу: 129110. г. Москва. переулок Банный. д. 4. стр. 2: Вторник - суббота 10.00-22.00. Воскресенье 10.00-20.00. Понедельник - выходной; График работы отделов по адресу: 129272. г. Москва. улица Сущевский Вал. д. 66. 129085. г. Москва. проспект Мира. д. 68. стр. 1: Вторник - суббота 10.00-21.00. воскресенье 10.00-20.00. Понедельник - выходной. Санитарный день – последний вторник месяца.

В период с 1 по 8 января 2026 г. библиотека не работает. 
31 декабря 2025 г. 10.00 – 17.00
9 января 2026 г. 12.00 – 20.00
10 января 2026 г. 12.00 – 20.00
11 января 2026 г. 12.00 – 20.00";"kulturacao.ru";"30";"15489";"74562";"2639269590";"{coordinates=[[37.637848472, 55.785812295], [37.627791069, 55.792138915], [55.786737818, 37.635376597], [37.64035655, 55.786085451]], type=MultiPoint}";"";
"Библиотека";"Библиотека №247";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Западного административного округа». Библиотека №247";"ГБУ г. Москвы «ОКЦ СЗАО». Библиотека №247";"nested data";"nested data";"Префектура Северо-Западного административного округа";"Земцова Людмила Борисовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Временный режим обслуживания. Санитарный день: последний вторник месяца";"kulturaszao.ru";"14";"2120";"11100";"2639269591";"{coordinates=[[37.386836624, 55.843252458]], type=MultiPoint}";"";
"Библиотека";"Детская библиотека №211 «Пионер»";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Западного административного округа». Детская библиотека №211 «Пионер»";"ГБУ г. Москвы «ОКЦ ЗАО». Детская библиотека №211 «Пионер»";"nested data";"nested data";"Префектура Западного административного округа";"Сосина Екатерина Валерьевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Закрыто на капитальный ремонт";"kulturazao.ru";"32";"2751";"18621";"2639269592";"{coordinates=[[37.557922367, 55.746058667]], type=MultiPoint}";"";
"Библиотека";"Библиотека №240";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Западного административного округа». Библиотека №240";"ГБУ г. Москвы «ОКЦ СЗАО». Библиотека №240";"nested data";"nested data";"Префектура Северо-Западного административного округа";"Качура Зинаида Александровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturaszao.ru";"17";"1228";"10009";"2639269593";"{coordinates=[[37.455511903, 55.788867736]], type=MultiPoint}";"";
"Библиотека";"Библиотека №250";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Зеленоградского административного округа». Библиотека №250";"ГБУ г. Москвы «ОКЦ ЗелАО». Библиотека №250";"nested data";"nested data";"Префектура Зеленоградского административного округа";"Павлова Лариса Сергеевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца.";"zelkultura.ru";"";"";"";"2639269599";"{coordinates=[[37.162620208, 55.97437203]], type=MultiPoint}";"";
"Библиотека";"Библиотека №150";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Библиотека №150";"ГБУ г. Москвы «ОКЦ ЮАО». Библиотека №150";"nested data";"nested data";"Префектура Южного административного округа";"Бурмистрова Светлана Викторовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturauao.ru";"60";"7004";"50993";"2639269606";"{coordinates=[[37.741236364, 55.633618022], [37.756978702, 55.635607207]], type=MultiPoint}";"";
"Библиотека";"Библиотека №209 им. А. Н. Толстого";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Западного административного округа». Библиотека №209 им. А. Н. Толстого";"ГБУ г. Москвы «ОКЦ ЗАО». Библиотека №209 им. А. Н. Толстого";"nested data";"nested data";"Префектура Западного административного округа";"Драница Светлана Васильевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца.";"kulturazao.ru";"55";"4695";"30128";"2639269607";"{coordinates=[[37.54432202, 55.744086566]], type=MultiPoint}";"";
"Библиотека";"Центральная детская библиотека №152";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Центральная детская библиотека №152";"ГБУ г. Москвы «ОКЦ ЮАО». Центральная детская библиотека №152";"nested data";"nested data";"Префектура Южного административного округа";"Лапшина Анна Дмитриевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: Последний вторник месяца";"kulturauao.ru";"24";"3623";"32661";"2639269610";"{coordinates=[[37.72710036, 55.609151843]], type=MultiPoint}";"";
"Библиотека";"Детская библиотека №144";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Детская библиотека №144";"ГБУ г. Москвы «ОКЦ ЮАО». Детская библиотека №144";"nested data";"nested data";"Префектура Южного административного округа";"Лексина Анна Владимировна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день.";"kulturauao.ru";"40";"3755";"28278";"2639269614";"{coordinates=[[37.737819767, 55.615297291]], type=MultiPoint}";"";
"Библиотека";"Библиотека №246";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Западного административного округа». Библиотека №246";"ГБУ г. Москвы «ОКЦ СЗАО». Библиотека №246";"nested data";"nested data";"Префектура Северо-Западного административного округа";"Евченко Елена Александровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturaszao.ru";"20";"1783";"10448";"2639269615";"{coordinates=[[37.484487724, 55.795459504]], type=MultiPoint}";"";
"Библиотека";"Библиотека №258";"Государственное бюджетное учреждение города Москвы «Центр досуга и спорта Троицкого и Новомосковского административных округов города Москвы». Библиотека №258";"ГБУ «ЦДС ТиНАО». Библиотека №258";"nested data";"nested data";"Префектура Троицкого и Новомосковского административных округов";"Волколупова Елена Эдуардовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Временно закрыто. Последний вторник месяца - санитарный день";"kulturatinao.ru";"10";"1210";"13349";"2639269616";"{coordinates=[[37.447331899, 55.531675518]], type=MultiPoint}";"";
"Библиотека";"Библиотека №218";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Западного административного округа». Библиотека №218";"ГБУ г. Москвы «ОКЦ ЗАО». Библиотека №218";"nested data";"nested data";"Префектура Западного административного округа";"Капсулина Лидия Петровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день - последний вторник месяца";"kulturazao.ru";"46";"3965";"25476";"2639269617";"{coordinates=[[37.471171344, 55.706495991]], type=MultiPoint}";"";
"Библиотека";"Библиотека №18";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Центрального административного округа». Библиотека №18";"ГБУ г. Москвы «ОКЦ ЦАО». Библиотека №18";"nested data";"nested data";"Префектура Центрального административного округа";"Ванюшкина Юлия Борисовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Библиотека работает по основному графику. График работы отдела по адресу: Дурасовский пер.. д. 9: Вторник - суббота 10.00 – 21.00. воскресенье 10.00 - 20.00. Понедельник – выходной. Санитарный день – последний вторник месяца.

В период с 1 по 8 января 2026 г. библиотека не работает. 
31 декабря 2025 г. 10.00 – 17.00
9 января 2026 г. 12.00 – 20.00
10 января 2026 г. 12.00 – 20.00
11 января 2026 г. 12.00 – 20.00";"kulturacao.ru";"13";"3760";"43717";"2639269618";"{coordinates=[[37.65126748, 55.754908723]], type=MultiPoint}";"";
"Библиотека";"Библиотека №175";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №175";"ГБУ г. Москвы «Атлант». Библиотека №175";"nested data";"nested data";"Префектура Юго-западного административного округа";"Тузлукова Марина Сергеевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturauzao.ru";"30";"3002";"29436";"2639269619";"{coordinates=[[37.600355255, 55.676357418]], type=MultiPoint}";"";
"Библиотека";"Центральная библиотека имени А. С. Пушкина";"Государственное бюджетное учреждение культуры города Москвы «Библиотека-читальня им. А.С. Пушкина». Центральная библиотека имени А. С. Пушкина";"ГБУК г. Москвы «Библиотека-читальня им.А.С. Пушкина». Центральная библиотека им. А. С. Пушкина";"nested data";"nested data";"Государственное бюджетное учреждение культуры города Москвы «Библиотека-читальня им. А.С. Пушкина»";"Калашникова Татьяна Юрьевна";"директор";"nested data";"nested data";"nested data";"nested data";"Молодежный и детский сектора - с 12.00 - 20.00; последний вторник каждого месяца - санитарный день (закрыто для посещения). Последний вторник каждого месяца - санитарный день.";"pushkinmoslib.ru";"57";"827";"30468";"2639269622";"{coordinates=[[37.672377932, 55.772082921], [37.672375209, 55.772071571], [37.672061, 55.771766], [37.692466445, 55.775712498]], type=MultiPoint}";"";
"Библиотека";"Центральная библиотека №190";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Центральная библиотека №190";"ГБУ г. Москвы «Атлант». Центральная библиотека №190";"nested data";"nested data";"Префектура Юго-западного административного округа";"Батова Анна Антоновна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Отделение по адресу ул. Профсоюзная. д. 115. корп. 1 закрыто на ремонт";"kulturauzao.ru";"60";"8088";"79762";"2639269623";"{coordinates=[[37.519371703, 55.63080438], [37.538193678, 55.638723761]], type=MultiPoint}";"";
"Библиотека";"Библиотека №5 имени М. А. Волошина";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Центрального административного округа». Библиотека №5 имени М. А. Волошина";"ГБУ г. Москвы «ОКЦ ЦАО». Библиотека №5 имени М. А. Волошина";"nested data";"nested data";"Префектура Центрального административного округа";"Лобов Алексей Викторович";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца – санитарный день.";"kulturacao.ru";"12";"5271";"33604";"2639269627";"{coordinates=[[37.5573071, 55.729994034]], type=MultiPoint}";"";
"Библиотека";"Библиотека №36 Культурный центр Ф. А. Искандера";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северного административного округа». Библиотека №36 Культурный центр Ф. А. Искандера";"ГБУ г. Москвы «ОКЦ САО». Библиотека №36 Культурный центр Ф. А. Искандера";"nested data";"nested data";"Префектура Северного административного округа";"Гладкова Валентина Валерьевна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturasao.ru";"20";"894";"10831";"2639269628";"{coordinates=[[37.578249788, 55.785899769]], type=MultiPoint}";"";
"Библиотека";"Библиотека №170";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Библиотека №170";"ГБУ г. Москвы «Атлант». Библиотека №170";"nested data";"nested data";"Префектура Юго-западного административного округа";"Кирюханова Евгения Петровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца";"kulturauzao.ru";"21";"3507";"26200";"2639269629";"{coordinates=[[37.541327882, 55.602885277]], type=MultiPoint}";"";
"Библиотека";"Библиотека №232";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Западного административного округа». Библиотека №232";"ГБУ г. Москвы «ОКЦ СЗАО». Библиотека №232";"nested data";"nested data";"Префектура Северо-Западного административного округа";"Маслиничева Ирина Александровна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Санитарный день: последний вторник месяца. График работы подразделения 2 (1-й Тушинский проезд. дом 4): Вт-Вс 12:00-20:00,. санитарный день - нет";"kulturaszao.ru";"16";"1200";"8959";"2639269630";"{coordinates=[[37.422192895, 55.83337736], [37.419570303, 55.83520684]], type=MultiPoint}";"";
"Библиотека";"Детская библиотека №178 - Культурный центр А. Л. Барто";"Государственное бюджетное учреждение города Москвы «Мой досуговый центр «Атлант». Детская библиотека №178 - Культурный центр А. Л. Барто";"ГБУ г. Москвы «Атлант». Детская библиотека №178 - Культурный центр А. Л. Барто";"nested data";"nested data";"Префектура Юго-западного административного округа";"Колоскова Ирина Викторовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день.";"kulturauzao.ru";"20";"4104";"36135";"2639269642";"{coordinates=[[37.573604167, 55.6871715]], type=MultiPoint}";"";
"Библиотека";"Библиотека №138";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Библиотека №138";"ГБУ г. Москвы «ОКЦ ЮАО». Библиотека №138";"nested data";"nested data";"Префектура Южного административного округа";"Ключникова Наталья Михайловна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день";"kulturauao.ru";"";"";"";"2639269643";"{coordinates=[[37.657294488, 55.595542763]], type=MultiPoint}";"";
"Библиотека";"Библиотека №166 имени 1-го Мая";"Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Южного административного округа». Библиотека №166 имени 1-го Мая";"ГБУ г. Москвы «ОКЦ ЮАО». Библиотека №166 им. 1-го Мая";"nested data";"nested data";"Префектура Южного административного округа";"Маркина Елизавета Станиславовна";"заведующий";"nested data";"nested data";"nested data";"nested data";"Последний вторник месяца - санитарный день.";"kulturauao.ru";"20";"3002";"25672";"2639269644";"{coordinates=[[37.586619246, 55.70861853]], type=MultiPoint}";"";
